time,symbol,side,quantity,price,notional,commission,tax,exchange_fee,total_cost,slippage_bps,reason,realized_pnl,return
2024-01-03,423920,buy,324,15425,4.9977E+06,749.655,0,0,749.655,0,entry,0,0
2024-01-03,452250,buy,662,7545,4.99479E+06,749.2185,0,0,749.2185,0,entry,0,0
2024-02-02,423920,sell,27,18200,491400,73.71,0,0,73.71,0,rebalance,74851.28999999998,0.17972576985413286
2024-02-02,452250,sell,662,7395,4.89549E+06,734.3235,0,0,734.3235,0,universe_removed,-100034.32349999994,-0.02002773359840953
2024-03-05,423920,sell,33,23735,783255,117.48825,0,0,117.48825,0,rebalance,274112.51174999995,0.5385050081037276
2024-03-05,446770,buy,282,21850,6.1617E+06,924.255,0,0,924.255,0,entry,0,0
2024-04-02,446770,sell,282,22855,6.44511E+06,966.7665,0,0,966.7665,0,universe_removed,282443.2335000001,0.04583852402745997
2024-05-03,434730,buy,366,16325,5.97495E+06,896.2425,0,0,896.2425,0,entry,0,0
2024-05-03,469150,buy,29,16415,476035,71.40525,0,0,71.40525,0,entry,0,0
2024-05-03,423920,sell,264,21685,5.72484E+06,858.726,0,0,858.726,0,universe_removed,1.6517812740000002E+06,0.40562380875202597
2024-06-04,434730,sell,366,18575,6.79845E+06,1019.7675,0,0,1019.7675,0,universe_removed,822480.2324999999,0.13765474732006125
2024-06-04,469150,sell,29,17105,496045,74.40675,0,0,74.40675,0,universe_removed,19935.593249999976,0.04187841912884552
2024-07-02,465610,buy,283,23000,6.509E+06,976.35,0,0,976.35,0,entry,0,0
2024-07-02,228790,buy,1926,3380,6.50988E+06,976.482,0,0,976.482,0,entry,0,0
2024-08-02,465610,sell,283,19980,5.65434E+06,848.151,0,0,848.151,0,universe_removed,-855508.1509999996,-0.13143465217391298
2024-08-02,228790,sell,1926,3100,5.9706E+06,895.59,0,0,895.59,0,universe_removed,-540175.5899999999,-0.08297781065088755
2024-09-03,364970,buy,748,7770,5.81196E+06,871.794,0,0,871.794,0,entry,0,0
2024-09-03,466920,buy,468,12405,5.80554E+06,870.831,0,0,870.831,0,entry,0,0
2024-10-04,364970,sell,748,7620,5.69976E+06,854.964,0,0,854.964,0,universe_removed,-113054.96399999969,-0.019452123552123498
2024-10-04,466920,sell,468,12035,5.63238E+06,844.857,0,0,844.857,0,universe_removed,-174004.85699999984,-0.029972208786779496
2024-11-04,456680,buy,999,5670,5.66433E+06,849.6495,0,0,849.6495,0,entry,0,0
2024-11-04,438320,buy,806,7025,5.66215E+06,849.3225,0,0,849.3225,0,entry,0,0
2024-12-03,456680,sell,999,6060,6.05394E+06,908.091,0,0,908.091,0,universe_removed,388701.909,0.06862275132275132
2024-12-03,438320,sell,806,6655,5.36393E+06,804.5895,0,0,804.5895,0,universe_removed,-299024.58949999977,-0.052811138790035544
