time,layer,type,symbol,side,reason,timeframe,session,status,quantity,price,notional,commission,tax,exchange_fee,total_cost,slippage_bps
,execution,unfilled,465350,buy,no_next_bar_for_pending_order,,,,0,0,0,0,0,0,0,0
,execution,unfilled,473460,buy,no_next_bar_for_pending_order,,,,0,0,0,0,0,0,0,0
2024-01-02,execution,order_intent,122630,buy,entry,,,,0,0,0,0,0,0,0,0
2024-01-02,execution,order_intent,233740,buy,entry,,,,0,0,0,0,0,0,0,0
2024-01-02,execution,order_intent,381180,buy,entry,,,,0,0,0,0,0,0,0,0
2024-01-03,execution,cost,122630,buy,commission,,,,0,0,0,499.095,0,0,499.095,0
2024-01-03,execution,cost,233740,buy,commission,,,,0,0,0,499.80375,0,0,499.80375,0
2024-01-03,execution,cost,381180,buy,commission,,,,0,0,0,498.255,0,0,498.255,0
2024-01-03,execution,fill,122630,buy,entry,,,,180,18485,3.3273E+06,0,0,0,0,0
2024-01-03,execution,fill,233740,buy,entry,,,,295,11295,3.332025E+06,0,0,0,0,0
2024-01-03,execution,fill,381180,buy,entry,,,,236,14075,3.3217E+06,0,0,0,0,0
2024-01-03,portfolio,portfolio_mutation,122630,buy,entry,,,,180,18485,3.3273E+06,499.095,0,0,499.095,0
2024-01-03,portfolio,portfolio_mutation,233740,buy,entry,,,,295,11295,3.332025E+06,499.80375,0,0,499.80375,0
2024-01-03,portfolio,portfolio_mutation,381180,buy,entry,,,,236,14075,3.3217E+06,498.255,0,0,498.255,0
2024-01-08,execution,order_intent,381180,sell,universe_removed,,,,236,0,0,0,0,0,0,0
2024-01-08,risk,rejected,388420,buy,max_positions,,,,0,0,0,0,0,0,0,0
2024-01-09,execution,cost,381180,sell,commission,,,,0,0,0,501.264,0,0,501.264,0
2024-01-09,execution,fill,381180,sell,universe_removed,,,,236,14160,3.34176E+06,0,0,0,0,0
2024-01-09,portfolio,portfolio_mutation,381180,sell,universe_removed,,,,236,14160,3.34176E+06,501.264,0,0,501.264,0
2024-01-15,execution,order_intent,122630,sell,universe_removed,,,,180,0,0,0,0,0,0,0
