time,symbol,side,quantity,price,notional,commission,tax,exchange_fee,total_cost,slippage_bps,reason,realized_pnl,return
2024-01-03,122630,buy,180,18485,3.3273E+06,499.095,0,0,499.095,0,entry,0,0
2024-01-03,381180,buy,236,14075,3.3217E+06,498.255,0,0,498.255,0,entry,0,0
2024-01-03,233740,buy,295,11295,3.332025E+06,499.80375,0,0,499.80375,0,entry,0,0
2024-01-09,381180,sell,236,14160,3.34176E+06,501.264,0,0,501.264,0,universe_removed,19558.736000000034,0.005888170515097701
2024-01-16,458250,buy,68,46460,3.15928E+06,473.892,0,0,473.892,0,entry,0,0
2024-01-16,244580,buy,24,8000,192000,28.8,0,0,28.8,0,entry,0,0
2024-01-16,122630,sell,180,16550,2.979E+06,446.85,0,0,446.85,0,universe_removed,-348746.8500000001,-0.10481376791993512
2024-01-16,233740,sell,295,10420,3.0739E+06,461.085,0,0,461.085,0,universe_removed,-258586.08499999996,-0.07760628596724213
2024-01-17,463050,buy,369,8550,3.15495E+06,473.2425,0,0,473.2425,0,entry,0,0
2024-01-23,463050,sell,369,8155,3.009195E+06,451.37925,0,0,451.37925,0,universe_removed,-146206.37925000023,-0.0463419005847954
2024-01-23,458250,sell,68,45140,3.06952E+06,460.428,0,0,460.428,0,universe_removed,-90220.42799999984,-0.02855727507533357
2024-01-23,244580,sell,24,7665,183960,27.594,0,0,27.594,0,universe_removed,-8067.594000000012,-0.04201871875000006
2024-01-30,381180,buy,194,15700,3.0458E+06,456.87,0,0,456.87,0,entry,0,0
2024-01-30,456600,buy,194,15675,3.04095E+06,456.1425,0,0,456.1425,0,entry,0,0
2024-01-30,381170,buy,186,16420,3.05412E+06,458.118,0,0,458.118,0,entry,0,0
2024-02-06,456600,sell,194,15905,3.08557E+06,462.8355,0,0,462.8355,0,universe_removed,44157.164499999955,0.014520845295055807
2024-02-06,381170,sell,186,16620,3.09132E+06,463.698,0,0,463.698,0,universe_removed,36736.30200000014,0.012028440925700412
2024-02-14,091180,buy,147,21055,3.095085E+06,464.26275,0,0,464.26275,0,entry,0,0
2024-02-14,161510,buy,223,13860,3.09078E+06,463.617,0,0,463.617,0,entry,0,0
2024-02-20,381180,sell,194,16125,3.12825E+06,469.2375,0,0,469.2375,0,universe_removed,81980.76250000019,0.026916003184713436
2024-02-27,462330,buy,681,4565,3.108765E+06,466.31475,0,0,466.31475,0,entry,0,0
2024-02-27,233740,buy,2,11245,22490,3.3735,0,0,3.3735,0,entry,0,0
2024-02-27,161510,sell,223,13715,3.058445E+06,458.76675,0,0,458.76675,0,universe_removed,-32793.76674999995,-0.010610191197691183
2024-03-05,233740,buy,265,11550,3.06075E+06,459.1125,0,0,459.1125,0,rebalance,0,0
2024-03-12,462330,sell,681,4490,3.05769E+06,458.6535,0,0,458.6535,0,universe_removed,-51533.653500000015,-0.01657688937568456
2024-03-12,091180,sell,147,21900,3.2193E+06,482.895,0,0,482.895,0,universe_removed,123732.10499999998,0.03997696509142721
2024-03-19,471990,buy,259,12415,3.215485E+06,482.32275,0,0,482.32275,0,entry,0,0
2024-03-19,476070,buy,269,11365,3.057185E+06,458.57775,0,0,458.57775,0,entry,0,0
2024-03-26,233740,sell,24,13910,333840,50.076,0,0,50.076,0,rebalance,56644.75546067416,0.20438658829672685
2024-03-26,476070,sell,269,11570,3.11233E+06,466.8495,0,0,466.8495,0,universe_removed,54678.15049999999,0.017885129784425864
2024-04-02,471990,sell,18,14690,264420,39.663,0,0,39.663,0,rebalance,40910.337,0.18306858638743456
2024-04-02,471760,buy,255,13680,3.4884E+06,523.26,0,0,523.26,0,entry,0,0
2024-04-02,396500,buy,16,13770,220320,33.048,0,0,33.048,0,entry,0,0
2024-04-02,233740,sell,243,13335,3.240405E+06,486.06075,0,0,486.06075,0,universe_removed,433824.1077893257,0.1546006581550576
2024-04-09,396500,buy,238,13340,3.17492E+06,476.238,0,0,476.238,0,rebalance,0,0
2024-04-16,396500,sell,254,13355,3.39217E+06,508.8255,0,0,508.8255,0,universe_removed,-3578.8254999996243,-0.001054071435303432
2024-04-23,411060,buy,219,14905,3.264195E+06,489.62925,0,0,489.62925,0,entry,0,0
2024-04-30,471990,sell,241,13420,3.23422E+06,485.133,0,0,485.133,0,universe_removed,241719.8670000001,0.08078832057994365
2024-04-30,471760,sell,255,12855,3.278025E+06,491.70375,0,0,491.70375,0,universe_removed,-210866.70374999987,-0.060447971491228034
2024-04-30,411060,sell,219,14990,3.28281E+06,492.4215,0,0,492.4215,0,universe_removed,18122.57849999983,0.00555192888292514
2024-05-08,371160,buy,565,5890,3.32785E+06,499.1775,0,0,499.1775,0,entry,0,0
2024-05-08,228790,buy,1172,2840,3.32848E+06,499.272,0,0,499.272,0,entry,0,0
2024-05-08,466920,buy,308,10815,3.33102E+06,499.653,0,0,499.653,0,entry,0,0
2024-05-28,228790,sell,87,3175,276225,41.43375,0,0,41.43375,0,rebalance,29103.566249999974,0.1177900528169013
2024-05-28,466920,sell,308,10655,3.28174E+06,492.261,0,0,492.261,0,universe_removed,-49772.26099999994,-0.014942048081368451
2024-05-28,371160,sell,565,5860,3.3109E+06,496.635,0,0,496.635,0,universe_removed,-17446.634999999776,-0.005242614601018609
2024-06-04,390390,buy,153,22940,3.50982E+06,526.473,0,0,526.473,0,entry,0,0
2024-06-04,471990,buy,240,13965,3.3516E+06,502.74,0,0,502.74,0,entry,0,0
